accuracy: 0.959200,0,1,2,3,4,5,6,7,8,9,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
0,93.645485,0.000000,0.334448,0.334448,0.000000,0.000000,0.000000,0.334448,0.000000,1.003344,0.000000,0.000000,0.000000,0.000000,0.000000,0.334448,1.337793,0.000000,0.000000,0.000000,0.000000,0.334448,0.334448,0.000000,0.668896,0.334448,0.000000,0.000000,0.668896,0.000000,0.334448,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.340136,98.299320,0.000000,0.000000,0.000000,0.000000,0.000000,0.340136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340136,0.000000,0.000000,0.000000,0.000000,0.340136,0.000000
2,0.375940,0.000000,98.496241,0.375940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.375940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.375940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,95.774648,0.000000,0.704225,0.000000,0.000000,0.352113,0.352113,1.408451,0.000000,0.000000,0.000000,0.000000,0.352113,0.000000,0.000000,0.000000,0.352113,0.000000,0.352113,0.000000,0.000000,0.000000,0.352113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.617284,87.345679,0.000000,0.000000,0.000000,0.308642,1.234568,5.864198,0.000000,0.000000,0.000000,0.000000,0.308642,0.000000,0.000000,0.000000,1.234568,0.000000,0.000000,0.000000,0.000000,0.000000,0.617284,0.000000,0.000000,0.000000,0.925926,0.000000,0.308642,0.308642,0.000000,0.925926,0.000000
5,0.000000,0.000000,0.325733,2.280130,0.000000,94.788274,0.325733,0.000000,0.325733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325733,0.325733,0.000000,0.000000,0.000000,0.000000,0.325733,0.000000,0.000000,0.325733,0.000000,0.000000,0.000000,0.651466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.325733,0.000000,0.000000,0.325733,0.325733,0.325733,87.622150,0.000000,7.817590,1.302932,0.651466,0.000000,0.325733,0.000000,0.000000,0.000000,0.651466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.325733,0.000000,0.000000,0.000000,0.000000,0.000000,90.553746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325733,0.000000,0.325733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.817590,0.000000,0.000000,0.000000,0.000000,0.325733,0.325733
8,0.000000,0.000000,0.632911,0.000000,0.000000,0.316456,0.949367,0.000000,93.354430,0.949367,0.000000,1.265823,0.000000,0.000000,0.000000,0.316456,0.000000,0.000000,0.000000,0.000000,0.000000,0.949367,0.000000,0.000000,0.000000,0.949367,0.000000,0.000000,0.316456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,1.724138,0.689655,0.000000,0.000000,0.344828,0.000000,1.379310,93.103448,0.344828,0.000000,0.000000,0.000000,0.000000,0.344828,0.344828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.034483,0.000000,0.000000,0.689655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
