accuracy: 0.965800,0,1,2,3,4,5,6,7,8,9,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
0,94.314381,0.000000,0.334448,0.000000,0.000000,0.000000,0.334448,0.000000,0.000000,0.668896,0.000000,0.000000,0.000000,1.003344,0.000000,0.000000,1.337793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.334448,0.668896,0.000000,0.000000,0.668896,0.000000,0.000000,0.334448,0.000000,0.000000,0.000000,0.000000
1,0.340136,97.959184,0.000000,0.000000,0.000000,0.000000,0.000000,0.340136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340136,0.000000,0.000000,0.340136,0.000000,0.000000,0.340136,0.000000
2,0.375940,0.000000,97.744361,0.000000,0.000000,0.000000,0.000000,0.375940,0.000000,0.375940,0.000000,0.000000,0.375940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.375940,0.000000,0.000000,0.000000,0.000000,0.375940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.704225,0.000000,0.704225,93.661972,0.000000,0.000000,0.000000,0.000000,0.000000,0.352113,0.352113,0.000000,0.000000,0.000000,0.000000,0.000000,0.352113,0.000000,0.000000,1.760563,0.352113,0.000000,0.000000,0.000000,0.000000,0.352113,0.000000,0.000000,0.704225,0.000000,0.000000,0.704225,0.000000,0.000000,0.000000,0.000000
4,0.308642,0.617284,0.308642,0.000000,92.283951,0.000000,0.308642,0.000000,0.308642,0.617284,1.851852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308642,0.000000,0.000000,0.000000,0.000000,0.000000,0.617284,0.000000,0.308642,0.000000,0.308642,0.000000,0.617284,0.000000,0.000000,1.234568,0.000000
5,0.325733,0.000000,0.000000,0.000000,0.000000,96.416938,0.325733,0.000000,0.325733,0.651466,0.000000,0.325733,0.000000,0.000000,0.000000,0.325733,0.325733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.651466,0.000000,0.000000,0.000000,0.325733,0.000000,0.000000,0.000000
6,1.628664,0.000000,0.000000,0.325733,0.325733,0.325733,88.273616,0.000000,7.166124,0.325733,0.651466,0.651466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.325733,0.977199,0.000000,0.000000,0.000000,0.000000,0.000000,93.485342,0.000000,0.000000,0.000000,0.000000,0.325733,0.000000,0.000000,0.325733,0.000000,0.000000,0.000000,0.000000,0.000000,0.325733,0.000000,0.000000,0.000000,0.977199,0.000000,0.000000,0.000000,2.931596,0.000000,0.000000,0.000000,0.000000,0.325733,0.000000
8,0.000000,0.000000,0.316456,0.000000,0.000000,0.000000,0.632911,0.000000,94.936709,0.316456,0.000000,2.531646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.632911,0.000000,0.000000,0.000000,0.316456,0.000000,0.000000,0.316456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,2.068966,0.000000,0.000000,0.000000,0.000000,0.344828,0.344828,0.000000,0.689655,93.793103,0.000000,1.034483,0.000000,0.000000,0.000000,0.344828,0.000000,0.000000,0.000000,0.000000,0.000000,0.344828,0.000000,0.000000,0.000000,0.689655,0.000000,0.000000,0.344828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
A,0.692042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,97.231834,0.000000,0.346021,0.000000,0.000000,0.000000,0.000000,0.346021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.692042,0.000000,0.000000,0.346021,0.000000,0.000000,0.000000,0.346021,0.000000,0.000000,0.000000
B,0.355872,0.000000,0.000000,0.000000,0.000000,0.000000,0.355872,0.000000,1.067616,0.000000,0.000000,97.864769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.355872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
C,0.346021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,93.425606,0.692042,0.000000,0.000000,0.692042,0.000000,0.000000,0.000000,0.000000,0.692042,0.000000,0.000000,4.152249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
D,3.484321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,93.379791,0.000000,0.000000,0.000000,0.348432,0.000000,0.348432,0.000000,0.000000,0.000000,0.000000,2.439024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
E,0.000000,0.000000,0.000000,0.000000,0.000000,1.010101,0.336700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,98.316498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.336700
F,0.000000,0.000000,0.317460,0.000000,0.952381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,95.873016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.539683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.317460,0.000000
G,0.653595,0.000000,0.000000,0.326797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.653595,0.000000,0.000000,0.000000,92.810458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
