accuracy: 0.969600,0,1,2,3,4,5,6,7,8,9,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
0,96.989967,0,0,0,0,0,0,0,0,0.334448,0,0,0,0,0,0,1.337793,0,0,0.334448,0,0,0,0,0,0.334448,0,0,0.668896,0,0,0,0,0,0,0
1,0.340136,98.29932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340136,0,0,0,0,0,0,0,0,0,0,0,0,1.020408,0
2,0.37594,0,96.616541,0.75188,0,0.37594,0,0,0,0,0,0,0.37594,0,0,0,0,0,0,0,0,0,0,0,0,0.37594,0,0,1.12782,0,0,0,0,0,0,0
3,1.056338,0,0,95.774648,0,0.352113,0.352113,0,0,0,0.704225,0,0,0,0,0.352113,0.352113,0,0,0,0,0.352113,0,0,0,0.352113,0,0,0.352113,0,0,0,0,0,0,0
4,0,0.617284,0,0.308642,94.135802,0,0,0,0.308642,0.308642,1.54321,0,0,0,0,0.617284,0,0,0,0.617284,0,0,0,0,0,0.308642,0,0,0,0.617284,0,0.308642,0,0,0.308642,0
5,0.325733,0,0,1.302932,0,96.416938,0.325733,0,0,0,0,0,0,0,0,0.325733,0,0,0,0,0,0.325733,0,0,0,0,0,0,0.651466,0,0,0,0.325733,0,0,0
6,0,0,0,0.325733,0,0.325733,94.462541,0,1.954397,0.651466,0,0,0,0,0,0,0.651466,0,0,0,0,0,0,0,0,0,0,0,1.628664,0,0,0,0,0,0,0
7,0,2.605863,0,0,0,0,0.325733,93.811075,0,0,0.325733,0,0.325733,0,0,0,0,0,0,0.325733,0,0.325733,0,0,0,0.325733,0,0,0.325733,1.302932,0,0,0,0,0,0
8,0,0,0,0.316456,0,0,1.898734,0,93.670886,0.632911,0,1.898734,0.632911,0,0,0,0,0,0,0,0,0,0,0,0,0.316456,0,0,0.632911,0,0,0,0,0,0,0
9,4.137931,0,0,0.344828,0,1.37931,1.37931,0,1.724138,87.931034,0.344828,0.344828,0,0,0,0,0.689655,0,0,0,0,0,0,0,0,0.344828,0,0,0.689655,0,0,0,0.344828,0,0.344828,0
A,0,0,0,0,0.692042,0.346021,0,0,0,0,98.269896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346021,0,0,0.346021,0,0,0,0,0,0,0
B,0.355872,0,0,0,0,0,0,0,1.067616,0,0,98.220641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355872,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,96.193772,0,0,0,1.038062,0,0,0,0,0,0,0,2.422145,0,0,0,0.346021,0,0,0,0,0,0,0
D,3.832753,0,0,0,0,0,0,0,0,0,0,0,0,93.379791,0,0,0,0,0,0.348432,0,0,0,0,2.090592,0,0,0,0,0,0,0.348432,0,0,0,0
E,0,0,0,0,0,1.010101,1.346801,0,0,0,0,0,0,0,96.296296,0.3367,0,0,0,0,0,0,0,0,0,0,0,0,1.010101,0,0,0,0,0,0,0
F,0,0,0,0,0.634921,0,0,0,0,0,0.31746,0,0,0,0,96.825397,0.31746,0,0,0,0,0,0,0,0,1.904762,0,0,0,0,0,0,0,0,0,0
G,0.980392,0,0,0,0,0,0,0,0,0,0,0,0.326797,0,0,0,96.732026,0,0,0,0,0,0,0,1.633987,0,0,0,0,0,0,0,0.326797,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.277978,0,0,0,0,0,0,0,0,0,0,0.361011,0,0,0.361011,0,0,0,0
I,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
J,0,0.341297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.976109,0,0,0,0,0,0,0,0,0,0,0.682594,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,0.323625,0,0,0,0,0,0,0,0,0.323625,99.029126,0,0,0,0,0,0,0,0,0,0,0,0,0.323625,0,0
L,0,0,0,0,0,0,0,0,0,0,0,0,0.358423,0,0,0,0,0,0,0,0,99.641577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.673203,0,0,0,0,0,0,0,0,0,0.326797,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0.338983,0,0,0,0,0,0,0,0,0,0,0,0,99.661017,0,0,0,0,0,0,0,0,0,0,0,0
O,0.727273,0,0,0,0,0,0,0,0,0,0,0,0,0.363636,0,0,0.363636,0,0,0,0,0,0,0,97.818182,0,0,0,0,0.363636,0.363636,0,0,0,0,0
P,0,0,0,0,0,0,0.321543,0.321543,0,0,0.321543,0,0,0,0,0.96463,0.321543,0,0,0.321543,0,0,0,0,0,95.819936,0,0.321543,1.286174,0,0,0,0,0,0,0
Q,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
