accuracy: 0.948000,0,1,2,3,4,5,6,7,8,9,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
0,96.989967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.334448,0.000000,0.000000,0.000000,2.675585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.000000,99.659864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340136,0.000000,0.000000,0.000000,0.000000
2,0.375940,0.000000,94.360902,3.007519,0.000000,0.000000,0.000000,0.375940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.751880,0.375940,0.000000,0.000000,0.000000,0.000000,0.000000,0.751880
3,0.000000,0.352113,0.352113,96.126761,0.000000,0.000000,0.000000,0.000000,0.000000,0.704225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.760563,0.000000,0.000000,0.000000,0.000000,0.000000,0.352113,0.000000,0.000000,0.352113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,1.234568,0.308642,0.000000,95.370370,0.308642,0.000000,0.000000,0.000000,0.000000,1.851852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308642,0.308642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.651466,0.000000,0.000000,0.651466,0.651466,89.250814,2.280130,0.000000,0.000000,0.325733,0.000000,0.000000,0.325733,0.977199,0.325733,0.977199,0.325733,0.325733,0.000000,0.325733,0.000000,0.651466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.954397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,1.628664,0.000000,0.000000,0.000000,0.000000,0.000000,92.833876,0.000000,3.908795,0.977199,0.000000,0.000000,0.000000,0.325733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,4.234528,0.000000,0.000000,0.000000,0.000000,0.000000,90.879479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.885993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.632911,0.000000,0.000000,0.316456,0.000000,0.000000,7.594937,0.000000,86.392405,0.316456,0.000000,0.632911,0.000000,0.000000,0.000000,0.000000,0.000000,0.316456,0.000000,0.632911,0.316456,0.632911,0.000000,0.000000,0.000000,0.000000,0.000000,0.316456,1.898734,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,3.448276,0.000000,0.689655,0.000000,0.344828,0.000000,2.068966,0.000000,1.034483,90.344828,0.000000,0.344828,0.344828,0.000000,0.000000,0.344828,0.000000,0.000000,0.000000,0.344828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.689655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
A,0.000000,1.038062,0.000000,0.000000,0.346021,0.000000,0.000000,0.000000,0.000000,0.000000,97.231834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.692042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.692042,0.000000,0.000000
B,0.355872,0.000000,0.000000,0.000000,0.000000,0.000000,5.338078,0.000000,9.964413,0.000000,0.000000,80.071174,0.000000,0.355872,0.355872,0.000000,0.355872,0.355872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.423488,1.423488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
C,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.346021,0.000000,0.000000,0.000000,0.000000,0.000000,97.923875,0.000000,0.000000,0.000000,1.730104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
D,6.968641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.348432,0.000000,0.000000,0.000000,88.501742,0.000000,0.000000,0.000000,1.393728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.439024,0.348432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
E,0.000000,0.000000,0.000000,0.000000,0.000000,0.336700,1.010101,0.000000,0.336700,0.000000,0.000000,0.673401,0.000000,0.336700,94.612795,1.010101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.336700,0.000000,0.000000,1.010101,0.000000,0.000000,0.000000,0.000000,0.336700,0.000000,0.000000
F,0.000000,0.000000,0.000000,0.000000,0.634921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.317460,98.412698,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.317460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.317460,0.000000
G,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.326797,0.000000,0.000000,0.653595,0.000000,0.000000,0.000000,98.039216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.653595,0.000000,0.000000,0.000000,0.000000,0.000000,0.326797,0.000000,0.000000,0.000000,0.000000,0.000000
H,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.361011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,97.833935,0.000000,0.000000,0.000000,0.000000,0.361011,0.361011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.722022,0.361011,0.000000,0.000000,0.000000,0.000000
I,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
J,0.000000,1.023891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.365188,0.000000,96.928328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.682594,0.000000,0.000000,0.000000,0.000000,0.000000
K,0.000000,0.000000,0.000000,0.000000,0.323625,0.000000,1.294498,0.000000,0.000000,0.000000,0.647249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.323625,95.792880,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.323625,0.000000,0.323625,0.000000,0.647249,0.323625,0.000000
L,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
M,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.307190,0.000000,0.000000,0.000000,0.000000,97.385621,0.326797,0.000000,0.326797,0.000000,0.000000,0.000000,0.000000,0.000000,0.326797,0.000000,0.326797,0.000000,0.000000
N,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.338983,2.033898,0.000000,0.000000,0.000000,0.000000,0.338983,97.288136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
O,1.090909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.727273,0.000000,0.000000,0.727273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,96.727273,0.000000,0.000000,0.000000,0.000000,0.000000,0.727273,0.000000,0.000000,0.000000,0.000000,0.000000
P,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.321543,0.000000,0.321543,0.000000,0.000000,0.964630,0.000000,0.643087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.321543,96.784566,0.000000,0.321543,0.321543,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Q,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R,0.344828,0.000000,0.000000,0.000000,0.000000,0.000000,0.689655,0.000000,0.000000,0.000000,0.689655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.689655,0.000000,0.000000,0.000000,0.000000,0.000000,0.344828,0.000000,1.034483,0.000000,96.206897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
