accuracy: 0.939700,0,1,2,3,4,5,6,7,8,9,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
0,92.976589,0.000000,0.668896,0.334448,0.000000,1.337793,0.334448,0.000000,0.334448,0.334448,0.000000,0.000000,0.334448,1.672241,0.000000,0.000000,0.000000,0.000000,0.000000,0.334448,0.000000,0.000000,0.000000,0.000000,0.334448,0.000000,0.000000,0.000000,0.000000,0.000000,0.334448,0.334448,0.000000,0.000000,0.334448,0.000000
1,0.000000,97.959184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.340136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.020408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,91.353383,3.007519,0.751880,0.000000,0.000000,1.127820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.375940,0.751880,0.000000,0.000000,0.000000,0.000000,0.375940,0.000000,0.000000,1.879699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.375940
3,0.352113,0.000000,0.704225,90.140845,0.000000,0.352113,0.000000,1.056338,0.000000,1.760563,0.704225,0.000000,0.000000,0.000000,0.000000,0.000000,0.352113,0.000000,0.000000,3.521127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.352113,0.352113,0.000000,0.000000,0.000000,0.000000,0.352113,0.000000
4,0.000000,0.617284,0.000000,0.000000,92.901235,0.000000,0.000000,0.925926,0.000000,0.308642,2.469136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.617284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308642,0.000000,0.000000,1.851852,0.000000
5,0.000000,0.000000,0.325733,0.325733,0.000000,90.879479,0.000000,0.000000,0.325733,0.977199,1.302932,0.000000,0.325733,0.000000,1.302932,0.000000,0.325733,0.000000,0.000000,0.325733,0.000000,0.977199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.280130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325733
6,0.325733,0.000000,0.651466,0.325733,0.325733,0.325733,90.228013,0.325733,2.280130,1.628664,0.000000,0.325733,0.000000,0.000000,0.325733,0.000000,0.325733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325733,0.000000,0.000000,0.000000,0.000000,1.954397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325733
7,0.000000,2.280130,0.000000,0.000000,0.000000,0.000000,0.000000,90.553746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.325733,0.000000,0.325733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.514658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,1.265823,0.632911,0.000000,0.632911,6.645570,0.000000,77.531646,3.797468,0.000000,3.797468,0.316456,0.000000,0.949367,0.316456,0.000000,0.000000,0.000000,0.316456,0.949367,0.316456,0.000000,0.000000,0.000000,1.265823,0.000000,0.632911,0.632911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.344828,0.000000,0.000000,0.344828,94.827586,0.689655,0.689655,0.344828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.344828,0.344828,0.344828,0.000000,0.000000,0.000000,0.344828,0.000000,0.000000,1.379310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
